status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name
✅ Trip Verified ,,Family Leisure,Economy Class,London to Kochi via Delhi,July 2022,1.0,1.0,2.0,1.0,1.0,1.0,1,no,1, London to Kochi via Delhi. Unless you have money to waste or want to be treated like a freeloader don't travel on Vistara. The staff both on ground and in flight treat the passengers like they are travelling for free. There is absolutely no respect given. On top of this the operations are terrible to say the least. The gates at Heathrow were announced 15 minutes before the gates closed. Considering the size of the airport it was highly inconvenient. The flights neither take of nor land in time. Our fight was supposed to depart from Delhi airport at 15:55 as per their boarding pass. But they called us to check our baggage for something at around 1545 even though the luggage was cleared at Heathrow airport and Delhi customs. They made us wait for absolutely no reason for almost half an hour. We had to run back to the boarding gate so that we don't miss our flight. For the price we pay the service is pathetic to say the least. The staff who are hardly exist around the airport are so arrogant and rude. I would rather walk for a day or 2 than fly in a one hour flight of Vistara.,Vistara
Not Verified ,A320,Family Leisure,Economy Class,Delhi to Ahmedabad,July 2022,5.0,5.0,5.0,3.0,,1.0,1,yes,2," Delhi to Ahmedabad. I was flying back from US on Lufthansa and had connection of Vistara from Delhi to Ahmedabad. Everything seemed perfect, the staff was helping and aircraft was superb, but when my luggage arrived my two wheels of my Samsonite bag were damaged. One was damaged and the other one was totally missing, the staff at airport was so polite and offer me charges of Rs150. It was a joke. Everyone knows how much full size Samsonite bag costs. It was better if they denied to pay. I had a flight of 30 hrs and was so tired that I left the airport after giving a very good smile to airport staff. Didn’t expected this from TATA.",Vistara
Not Verified ,,Business,Premium Economy,"London, UK to Pune, India via Delhi, India",June 2022,3.0,2.0,2.0,3.0,1.0,1.0,1,no,2,"  I flew Vistara for the first time internationally. My experience right from conversations with customer service in London until my arrival in Poona suggests that there is a serious culture problem with the airline. I tried to check in online 5 times and called customer service for assistance. It was clear that the online check in needs more sophistication so I politely asked if they would take feedback to help improve it. The response was “no one has ever had such a problem”. The tone and response smacked of apathy and lack of professionalism. I have wide ranging experience with many airlines and customer service but haven’t experienced this as far as I can remember. On the plane, the stewardesses were robotic and cold, not to mention uninformed. The flight was late taking off from London. Thinking ahead about my connecting flight I asked if we could have the customs forms. These girls did not understand what I was asking and when I explained again they said there was no such form required. Arriving in Delhi, there was no ground staff to assist many of us who had connecting flights. To top it, many us who had priority and transfer tags in our bags waited 55 minutes for our bags. There was no ground staff to help. All of us missed our connecting flight due to the bags being egregiously delayed. I arrived in Pune in 24 hours. Vistara how can you compete in today’s customer centric world with such an apathetic attitude and deplorable service. I am dreading my flight back to London. Never again will I fly Vistara.",Vistara
✅ Trip Verified ,,Business,Economy Class,Delhi to Coichin,July 2022,,,,,,,1,no,1,"  Had a bad pre-flight experience with the airline, I had accidentally booked 15 kgs of extra Luggage instead of 10 KG. I contacted Vistara customer care to reduce my extra Luggage to 10 KG and refund the rest as airline points so as that I can use it in my return flight to Delhi after a month. I offered to make an additional 10kg purchase of luggage along with this carryover 5KG right away, but they refused to help me out. These requests were made 6 hrs prior to my first flight here from Auckland. ",Vistara
✅ Trip Verified ,,Solo Leisure,Economy Class,London to Delhi,June 2022,4.0,5.0,5.0,4.0,,5.0,5,yes,10,"  I didn't expect anything else or special from Vistara. In fact I was a little apprehensive as I had never heard of them before, but I should not have. My experience was made good by the generosity and kindness of the crew. Nothing was too much of a trouble. Despite the fact that they work so hard to look after so many passengers the smiles and pleasantries never stopped. My row of economy class passengers from London to Delhi (UK0018) was looked after by Rajeev and Tanya. Such genuine, polite and hard working people. She was a lovely host and probably the best airline crew I came across in a long while. ""Thank you Rajeev and Tanya"" and rest of the team. Fly with Vistara, they are the best, a very human and pleasant experience. ",Vistara
Not Verified ,A320,Solo Leisure,Economy Class,Bangalore to Chandigarh,May 2022,4.0,5.0,5.0,5.0,5.0,4.0,5,yes,10,  I loved the experience flying Vistara. I was really happy to get the breakfast and the amazing service by the crew. Vistara has taken full care of your entertainment as they have provided onboard wifi service. I would like to thank Mr. Priya Ranjan and other crew members for their amazing service.,Vistara
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
✅ Trip Verified ,,Solo Leisure,Economy Class,Tel-Aviv to Budapest,December 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Flight was cancelled, which is ok if you got a refund. Month and a half have passed and I still see no money coming. What is the most unpleasant - I can not find any phone number of support to discuss the issue. I filled in form on their internet site but have not got any reply. Very unpleasant behaviour for a business entity.",Vueling Airlines
