Passenger Name,Review Date,Airline Name,Airline Average Rating,Cabin Flown,Passenger Overall Rating,Overall Value for Money,Seat and Cabin Space,Customer Service,In Flight Entertainment,Baggage Handling,Check-in Process,Meals and Beverages,Recommend Airline,Passenger Review Text
Guillermo,"December 3, 2016",Aerolineas Argentinas,5.5,Flew Economy,7.0,3,3,3,0,,,2,Yes,"Compliance with Schedule:  excellen Mobile check in: very complicated Control on the size of carry on luggage: not always. Help of air assistants on board with large  luggage: minimum, Control of seats in the upright position at landing: deficient Many 2 hour-flights do not serve coffee on board (just cold beverages) Cordiality on board: excellent Sense of safety in difficult conditions: excellent Cleanless of plane:  fair I would recommend it because it is a very safe airline that usually meet its schedule. I fly 60.000 km every year in 55 flights"
Allan,"September 22, 2016",Aerolineas Argentinas,5.5,Flew Economy,1.0,1,4,1,2,,,2,No,"My connecting flight from Santa Cruz, Bolivia to Buenos Aires, Argentina left more than 2 hours late.  I was connecting from the USA and was charged $98 extra luggage because they allow only 20 kilos from Bolivia, not the 23 kilos that 99% of other airlines allow.   In Buenos Aires the pilots went on unannounced strike (Sept. 16, 2016) and disrupted all their national and international flights… Beware, this airlines is poorly managed and fraught with service issues.  Avoid."
Alejandro,"July 17, 2016",Aerolineas Argentinas,5.5,Flew Economy,1.0,0,4,2,3,,,1,No,"When I travel from Brazil to Argentina at the check in they made me pay for extra weight, however from Argentina to Brazil the guy at the counter say that my bag was ok and that it would fit. In conclusion in Brazil I had to pay but in argentina my hand bag was ok.Its a shame that the employees in Brazil for Aerolineas Argentina are not well prepare"
Walter,"May 23, 2016",Aerolineas Argentinas,5.5,Flew Business,9.0,4,4,5,2,,,4,Yes,Nothing to complain about
Lucas,"February 6, 2016",Aerolineas Argentinas,5.5,Flew Economy,1.0,1,3,1,2,,,4,No,"The airline service in general is bad. To start with the service at the counter is really poor. The lady at the line was rude and was very dull. The ticket service worker was slow too, very slow."
Pedro,"January 13, 2016",Aerolineas Argentinas,5.5,Flew Economy,9.0,4,4,5,4,,,4,Yes,"Very good airline. All of my last flights have been on time. Friendly staff. They’ve never lost my luggage. In flight service (meals) could be better, but are OK. Except for the newer 737-800s and the ERJ-190 the rest of the fleet is rather ageing, but still in good condition. I recommend this airline without doubt despite of what many people will say."
HD Aviation Videos,"January 9, 2016",Aerolineas Argentinas,5.5,Flew Economy,9.0,4,4,5,3,,,3,Yes,"I’ve taken many flights with Aerolineas Argentinas (more than 40) in the last 4 years and my worst issue was that once I had a 30 min delay on a flight from AEP to SCL. All the other flights have always arrived on time or earlier, had a friendly crew and they have never lost my luggage. I know there have been some bigger issues around, but that may also happen with other carriers. The Airline provides a reliable service with a basic inflight service including snacks and non-alcoholic drinks (comparable to its competitor’s) in domestic and regional flights in SouthAm. AR has one of the best safety records in the airline industry."
Michele,"January 6, 2016",Aerolineas Argentinas,5.5,Flew Economy,4.0,2,3,1,1,,,1,No,It was the first time we travelled with Aerolineas Argentinas. It is a ‘just fine’ airline for those who do not expect luxury. Negative points will be that:
Gustavo,"August 26, 2015",Aerolineas Argentinas,5.5,Flew Economy,9.0,4,4,4,4,,,4,Yes,Good Service. Some aircraft are quite old. Others fresh new. Easy to buy tickets via web.
Alejandro,"June 25, 2015",Aerolineas Argentinas,5.5,Flew Economy,2.0,1,1,1,1,,,2,No,"Very poor service, staff unhelpfull and old planes. avoid this company you have better options to fly from Spain to Argentina such Iberia or even Air Europa"
Ivan,"May 28, 2015",Aerolineas Argentinas,5.5,Flew Economy,9.0,5,4,5,4,,,4,Yes,I had never problems with them. The planes are all new and the crew was polite all the time.
Olav Einar,"March 16, 2020",Aeromar,10.0,Flew Economy Class,10.0,5,5,5,0,5,5,5,Yes,"Aeromars flight 119 23 february was canseled, caused operational issues (birdstrike on arrival ) it was werry confusion, at what we would do. First it was no flights before to morrow, and hotell was offered. Werry fair enought. As a pilot, i know there is always a flight option, so when i let them handle the line i and two friends went to the desk, and we got rebooked, thrue a another airport and arrived the destination 10 hours delayed. But a far better option than a night on hotell. I whrighted aeromar a small complain mail about what could be better in theyr service. And i got a mail back next day, where they  apolpgied about everything. And they wanted to give me a two way roundtrip ticet to any of theyr destinations for free. That supriced me, and it defently regain ALL respect for this airline. And in general i have ben flewn with them often, and always been sastified. i take of my the hat for this airline, services and comunication."
Tonya,"January 7, 2024",Aeromexico,2.4,Flew Economy Class,4.0,2,3,3,3,1,3,3,No,Almost as bad as volaris. The system will “be down” when trying to add luggage so that you have NO choice but to pay for it at the airport at double the cost. How convenient for them. 🙄
jesus,"April 11, 2023",Aeromexico,2.4,Flew Economy Class,1.0,2,0,4,4,3,4,4,No,"I traveled with this airline on March 17/23 and my first flight to go was fine but the return trip was canceled and they did not give me another flight and they did not reimburse me for the amount of the flight. I called customer service and they wanted to sell me another return flight and more expensive. It is one of the bad airlines to travel, they do not respect reservations and they do not solve anything for you."
Jonathan,"April 1, 2023",Aeromexico,2.4,Flew Economy Class,1.0,1,1,1,3,1,1,3,No,"They changed my flight by over 1.5 hours after I booked it, creating an even more massive layover and late arrival. In trying to change it customer service was horrible and refused. Baggage was incredibly slow arriving."
Jasmine,"March 1, 2023",Aeromexico,2.4,Flew Economy Class,1.0,1,3,1,3,1,3,3,No,"I flex Aeromexico in Dec and arrived to my luggage missing.  It is now March and I still have not received my luggage or any compensation. I was originally offered $250 USD in compensation for the delay. I sent payment information and received nothing. They also informed me that if my bag was lost, then the $250 USD for the delay would be deducted from the total price of my luggage. After 21 days passed, I reached out again asking for compensation. After listing the contents of my bag, I was offered just over $500 USD. It cost me nearly $80 to check the bag and since the bag was lost, I was no longer eligible for the $250 for the delay. Basically, Aeromexico was telling me that the bag itself, the contents inside, all of the clothing and toiletries I had to pay for during my stay and the inconvenience of it all was worth about $170 USD. I have reached out via email, WhatsApp and phone several times. I’m extremely disappointed with this airline and their inability to resolve issues."
Jose,"December 3, 2022",Aeromexico,2.4,Flew Premium Economy Class,1.0,1,1,1,1,1,1,1,No,"Extremely bad customer service and communication. My flight was scheduled to take off at 8:55pm and at 9:10pm they announced that the flight was delayed for an hour because they were waiting for the flight crew. An hour later they said that they were still waiting for 2 crew members, they boarded another flight before our flight and no information about our flight, going on 2 hours Daley waiting for the other flight to board and not even the decency to informed us or give us an update. If any passenger is not at the airport at least 2 hours before the flight they will lose their flight and have to purchase a whole new ticket so I think that is only fair that the airline should have to reimburse all the passengers for the flight. I will be posting this on all platforms to make sure it’s heard and hope Aeromexico does something about it."
